City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
438,Pochutla,MX,15.7432,-96.4661,78.82,69,100,0.96,overcast clouds
439,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,48.25,60,9,21.9,clear sky
440,Itarema,BR,-2.9248,-39.9167,87.73,54,18,13.0,few clouds
441,Saint-Francois,FR,46.4154,3.9054,83.68,41,0,12.66,clear sky
442,Agropoli,IT,40.3469,14.9966,79.29,63,99,4.27,light rain
443,Najran,SA,17.4924,44.1277,88.83,26,96,17.81,overcast clouds
444,Dormidontovka,RU,47.7702,134.9076,68.34,85,20,2.62,few clouds
445,Perepravnaya,RU,44.3366,40.7849,91.54,39,35,3.58,scattered clouds
446,Caravelas,BR,-17.7125,-39.2481,81.18,47,0,7.4,clear sky
447,Taksimo,RU,56.3444,114.8794,74.05,54,86,1.59,overcast clouds
448,Mabaruma,GY,8.2,-59.7833,79.43,94,99,4.07,overcast clouds
449,Maasin,PH,10.1336,124.8447,82.49,78,80,7.81,broken clouds
450,Alexandria,EG,31.2156,29.9553,83.86,63,0,12.57,clear sky
451,Filadelfia,US,39.9523,-75.1638,80.29,80,40,5.01,scattered clouds
452,Wagga Wagga,AU,-35.1167,147.3667,46.81,100,100,0.0,overcast clouds
453,Srednekolymsk,RU,67.45,153.6833,48.52,51,100,8.12,overcast clouds
454,Turbat,PK,26.0023,63.044,93.2,52,1,22.53,clear sky
455,Haimen,CN,23.1935,116.6142,80.24,87,100,9.66,overcast clouds
456,Bonavista,CA,48.6499,-53.1147,62.64,68,10,7.74,clear sky
457,Bodden Town,KY,19.2833,-81.25,88.0,76,66,3.0,broken clouds
458,Bandarbeyla,SO,9.4942,50.8122,80.8,68,94,30.2,overcast clouds
459,Vila Velha,BR,-20.3297,-40.2925,84.15,61,0,10.36,clear sky
460,Bairnsdale,AU,-37.8333,147.6167,49.69,92,76,6.31,broken clouds
461,Paramonga,PE,-10.6667,-77.8333,65.07,77,65,8.34,broken clouds
462,Sibolga,ID,1.7427,98.7792,76.75,77,36,2.66,scattered clouds
